"date","home_team","away_team","home_goals","away_goals","neutral"
"2008-05-25 12:30:00","Thailand","Iraq",2,1,0
"2008-05-25 20:30:00","Turkey","Uruguay",2,3,0
"2008-05-26 20:00:00","Sweden","Slovenia",1,0,0
"2008-05-26 20:30:00","Poland","Macedonia FYR",1,1,0
"2008-05-27 12:20:00","Japan","Paraguay",0,0,0
"2008-05-27 17:00:00","Estonia","Georgia",1,1,0
"2008-05-27 17:45:00","Germany","Belarus",2,2,0
"2008-05-27 18:00:00","Qatar","Lebanon",2,1,0
"2008-05-27 19:00:00","Luxembourg","Cape Verde Islands",1,1,0
"2008-05-27 20:30:00","Austria","Nigeria",1,1,0
"2008-05-27 20:30:00","Albania","Poland",0,1,0
"2008-05-27 20:30:00","Czech Republic","Lithuania",2,0,0
"2008-05-27 21:00:00","France","Ecuador",2,0,0
"2008-05-28 13:30:00","Singapore","Bahrain",0,1,0
"2008-05-28 18:00:00","Moldova","Armenia",2,2,0
"2008-05-28 19:00:00","Russia","Serbia",2,1,0
"2008-05-28 20:05:00","Norway","Uruguay",2,2,0
"2008-05-28 21:05:00","England","United States",2,0,0
"2008-05-28 21:35:00","Iceland","Wales",0,1,0
"2008-05-29 20:00:00","Netherlands","Denmark",1,1,0
"2008-05-29 20:30:00","Turkey","Finland",2,0,0
"2008-05-29 21:10:00","Ireland","Colombia",1,0,0
"2008-05-30 17:30:00","Czech Republic","Scotland",3,1,0
"2008-05-30 18:00:00","Latvia","Estonia",1,0,0
"2008-05-30 20:30:00","Switzerland","Liechtenstein",3,0,0
"2008-05-30 20:35:00","Austria","Malta",5,1,0
"2008-05-30 20:50:00","Italy","Belgium",3,1,0
"2008-05-31 02:00:00","Guatemala","El Salvador",0,0,0
"2008-05-31 15:00:00","Lithuania","Estonia",1,0,0
"2008-05-31 17:30:00","Germany","Serbia",2,1,0
"2008-05-31 19:15:00","Portugal","Georgia",2,0,0
"2008-05-31 20:30:00","Hungary","Croatia",1,1,0
"2008-05-31 21:00:00","France","Paraguay",0,0,0
"2008-05-31 22:00:00","Spain","Peru",2,1,0
"2008-06-01 04:30:00","Brazil","Canada",3,2,0
"2008-06-01 13:00:00","Latvia","Lithuania",2,1,0
"2008-06-01 15:00:00","Netherlands","Wales",2,0,0
"2008-06-01 16:00:00","Poland","Denmark",1,1,0
"2008-06-01 16:00:00","Sweden","Ukraine",0,1,0
"2008-06-01 20:15:00","Armenia","Greece",0,0,0
"2008-06-01 20:15:00","Bosnia-Herzegovina","Azerbaijan",1,0,0
"2008-06-01 22:00:00","Guatemala","Panama",0,1,0
"2008-06-01 23:30:00","Trinidad and Tobago","England",0,3,0
"2008-06-02 18:00:00","Finland","Belarus",1,1,0
"2008-06-03 21:00:00","France","Colombia",1,0,0
"2008-06-04 19:00:00","Russia","Lithuania",4,1,0
"2008-06-04 22:05:00","Spain","United States",1,0,0
"2008-06-05 00:00:00","Panama","Canada",2,2,0
"2008-06-05 01:00:00","Chile","Guatemala",2,0,0
"2008-06-05 05:05:00","Mexico","Argentina",1,4,0
"2008-06-06 12:00:00","Indonesia","Malaysia",1,1,0
"2008-06-07 18:00:00","Switzerland","Czech Republic",0,1,0
"2008-06-07 20:45:00","Portugal","Turkey",2,0,0
"2008-06-08 01:25:00","Chile","Panama",0,0,0
"2008-06-08 18:00:00","Austria","Croatia",0,1,0
"2008-06-08 20:45:00","Germany","Poland",2,0,0
"2008-06-09 01:45:00","United States","Argentina",0,0,0
"2008-06-09 02:00:00","Mexico","Peru",4,0,0
"2008-06-09 18:00:00","Romania","France",0,0,0
"2008-06-09 20:45:00","Netherlands","Italy",3,0,0
"2008-06-10 18:00:00","Spain","Russia",4,1,0
"2008-06-10 20:45:00","Greece","Sweden",0,2,0
"2008-06-11 18:00:00","Czech Republic","Portugal",1,3,0
"2008-06-11 20:45:00","Switzerland","Turkey",1,2,0
"2008-06-12 18:00:00","Croatia","Germany",2,1,0
"2008-06-12 20:45:00","Austria","Poland",1,1,0
"2008-06-13 18:00:00","Italy","Romania",1,1,0
"2008-06-13 20:45:00","Netherlands","France",4,1,0
"2008-06-14 18:00:00","Sweden","Spain",1,2,0
"2008-06-14 20:45:00","Greece","Russia",0,1,0
"2008-06-14 21:00:00","Uruguay","Venezuela",1,1,0
"2008-06-15 03:00:00","Peru","Colombia",1,1,0
"2008-06-15 20:45:00","Switzerland","Portugal",2,0,0
"2008-06-15 20:45:00","Turkey","Czech Republic",3,2,0
"2008-06-15 21:00:00","Paraguay","Brazil",2,0,0
"2008-06-15 23:10:00","Argentina","Ecuador",1,1,0
"2008-06-16 01:30:00","Bolivia","Chile",0,2,0
"2008-06-16 20:45:00","Austria","Germany",0,1,0
"2008-06-16 20:45:00","Poland","Croatia",0,1,0
"2008-06-17 20:45:00","France","Italy",0,2,0
"2008-06-17 20:45:00","Netherlands","Romania",2,0,0
"2008-06-18 00:00:00","Uruguay","Peru",6,0,0
"2008-06-18 20:45:00","Greece","Spain",1,2,0
"2008-06-18 20:45:00","Russia","Sweden",2,0,0
"2008-06-18 22:10:00","Bolivia","Paraguay",4,2,0
"2008-06-19 00:20:00","Ecuador","Colombia",0,0,0
"2008-06-19 02:50:00","Brazil","Argentina",0,0,0
"2008-06-19 20:45:00","Portugal","Germany",2,3,0
"2008-06-20 02:30:00","Venezuela","Chile",2,3,0
"2008-06-20 20:45:00","Croatia","Turkey",0,0,0
"2008-06-21 20:45:00","Netherlands","Russia",1,1,0
"2008-06-22 20:45:00","Spain","Italy",0,0,0
"2008-06-25 20:45:00","Germany","Turkey",3,2,0
"2008-06-26 20:45:00","Russia","Spain",0,3,0
"2008-06-29 20:45:00","Germany","Spain",0,1,0
"2008-08-07 02:15:00","Bolivia","Guatemala",0,3,0
"2008-08-10 12:00:00","Haiti","Trinidad and Tobago",1,0,0
"2008-08-15 05:00:00","El Salvador","Trinidad and Tobago",1,3,0
"2008-08-19 21:00:00","Australia","South Africa",2,2,0
"2008-08-20 12:00:00","Guinea","Côte dIvoire",1,2,0
"2008-08-20 12:00:00","Tanzania","Ghana",1,1,0
"2008-08-20 12:10:00","Japan","Uruguay",1,3,0
"2008-08-20 14:00:00","Paraguay","Saudi Arabia",1,1,0
"2008-08-20 17:30:00","Tunisia","Angola",1,1,0
"2008-08-20 18:00:00","Finland","Israel",2,0,0
"2008-08-20 18:00:00","Ukraine","Poland",1,0,0
"2008-08-20 18:00:00","Estonia","Malta",2,1,0
"2008-08-20 19:00:00","Belarus","Argentina",0,0,0
"2008-08-20 19:00:00","Norway","Ireland",1,1,0
"2008-08-20 19:00:00","Lithuania","Moldova",3,0,0
"2008-08-20 19:15:00","Russia","Netherlands",1,1,0
"2008-08-20 19:45:00","Romania","Latvia",1,0,0
"2008-08-20 20:00:00","Turkey","Chile",1,0,0
"2008-08-20 20:15:00","Denmark","Spain",0,3,0
"2008-08-20 20:15:00","Slovakia","Greece",0,2,0
"2008-08-20 20:15:00","Luxembourg","Macedonia FYR",1,4,0
"2008-08-20 20:45:00","Slovenia","Croatia",2,3,0
"2008-08-20 20:45:00","Italy","Austria",2,2,0
"2008-08-20 20:45:00","Switzerland","Cyprus",4,1,0
"2008-08-20 20:45:00","Albania","Liechtenstein",2,0,0
"2008-08-20 21:00:00","Sweden","France",2,3,0
"2008-08-20 21:00:00","Scotland","Northern Ireland",0,0,0
"2008-08-20 21:00:00","Germany","Belgium",2,0,0
"2008-08-20 21:00:00","England","Czech Republic",2,2,0
"2008-08-20 21:05:00","Wales","Georgia",1,2,0
